"Url","SiteSizeMB"
"https://groverale.sharepoint.com/sites/dev-learn3","1.79"
"https://groverale.sharepoint.com/sites/dev-goals2","1.79"
"https://groverale.sharepoint.com/sites/dev-goals3","1.79"
"https://groverale.sharepoint.com/sites/dev-learn2","1.79"
"https://groverale.sharepoint.com/sites/dev-test","1.78"
"https://groverale.sharepoint.com/sites/demoportal","1.75"
"https://groverale.sharepoint.com/sites/TheHubSS","1.74"
"https://groverale.sharepoint.com/sites/testComsChub","1.73"
"https://groverale.sharepoint.com/sites/ExternalTeam","1.73"
"https://groverale.sharepoint.com/sites/dev-legacyintranet-countries-t","1.72"
"https://groverale.sharepoint.com/sites/SiteWithHeader","1.72"
"https://groverale.sharepoint.com/sites/ChangeURL","1.72"
"https://groverale.sharepoint.com/sites/adoptifyag","1.72"
"https://groverale.sharepoint.com/sites/TeamToDelete","1.72"
"https://groverale.sharepoint.com/sites/default-coms","1.71"
"https://groverale.sharepoint.com/sites/NewStuff","1.7"
"https://groverale.sharepoint.com/sites/intranet-2","1.7"
"https://groverale.sharepoint.com/sites/NewTeam","1.69"
"https://groverale.sharepoint.com/sites/dev-legacyintranet-howdoi","1.69"
"https://groverale.sharepoint.com/sites/dev-legacyintranet-countries-t2","1.69"
"https://groverale.sharepoint.com/sites/NewOneDriveBanner","1.68"
"https://groverale.sharepoint.com/sites/Requestateamapp","1.68"
"https://groverale.sharepoint.com/sites/archDemo2","1.67"
"https://groverale.sharepoint.com/sites/intreanet-teasm","1.67"
"https://groverale.sharepoint.com/sites/PnPTeam","1.67"
"https://groverale.sharepoint.com/sites/cangecoms","1.66"
"https://groverale.sharepoint.com/sites/instranet-03","1.6"
"https://groverale.sharepoint.com/sites/TestOneDriveComs","1.59"
"https://groverale.sharepoint.com/sites/adoptifyag2","1.59"
"https://groverale.sharepoint.com/sites/dopeski5","1.58"
"https://groverale.sharepoint.com/sites/TeamCreationAdmin","1.58"
"https://groverale.sharepoint.com/sites/Dopeski4","1.58"
"https://groverale.sharepoint.com/sites/Dopeski","1.57"
"https://groverale.sharepoint.com/sites/Dopeski3","1.55"
"https://groverale.sharepoint.com/sites/Dopeski2","1.55"
"https://groverale.sharepoint.com/sites/testing","1.52"
"https://groverale.sharepoint.com/sites/CompanyWide","1.52"
"https://groverale.sharepoint.com/sites/TheBosses","1.52"
"https://groverale.sharepoint.com/sites/AdoptM3652","1.5"
"https://groverale.sharepoint.com/sites/AdoptionTeam","1.5"
"https://groverale.sharepoint.com/sites/Howtouseteams","1.5"
"https://groverale.sharepoint.com/sites/archiverun","1.49"
"https://groverale.sharepoint.com/sites/archdemo","1.46"
"https://groverale.sharepoint.com/sites/streamgroup","1.43"
"https://groverale.sharepoint.com/sites/150","1.43"
"https://groverale.sharepoint.com/sites/teamrequests","1.41"
"https://groverale.sharepoint.com/sites/201","1.41"
"https://groverale.sharepoint.com/sites/archivetest","1.41"
"https://groverale.sharepoint.com/sites/group","1.41"
"https://groverale.sharepoint.com/sites/testcoms","1.4"
"https://groverale.sharepoint.com/sites/AdoptifyAdmins","1.4"
"https://groverale.sharepoint.com/sites/permissionstest","1.37"
"https://groverale.sharepoint.com/sites/mailenabled","1.35"
